Timestamp,FIT101,LIT101,MV101,P101,P102,DPIT301,FIT301,LIT301,MV301,MV302,MV303,MV304,P301,P302,Attack
 28/12/2015 11:22:00 AM,2.579188,592.0323,2,1,1,19.7804,2.211959,904.2553,1,2,1,1,1,2,1
 28/12/2015 11:22:01 AM,2.563174,593.0323,2,1,1,19.7804,2.2126,903.6545,1,2,1,1,1,2,1
 28/12/2015 11:22:02 AM,2.544278,594.0323,2,1,1,19.7804,2.213368,902.8535,1,2,1,1,1,2,1
 28/12/2015 11:22:03 AM,2.530506,595.0323,2,1,1,19.7804,2.214649,902.6932,1,2,1,1,1,2,1
 28/12/2015 11:22:04 AM,2.51193,596.0323,2,1,1,19.77399,2.214649,901.772,1,2,1,1,1,2,1
 28/12/2015 11:22:05 AM,2.498799,597.0323,2,1,1,19.77399,2.214649,901.4516,1,2,1,1,1,2,1
 28/12/2015 11:22:06 AM,2.484707,598.0323,2,1,1,19.77399,2.214649,901.051,1,2,1,1,1,2,1
 28/12/2015 11:22:07 AM,2.471255,599.0323,2,1,1,19.73558,2.213624,900.6104,1,2,1,1,1,2,1
 28/12/2015 11:22:08 AM,2.452679,600.0323,2,1,1,19.73558,2.213624,900.4102,1,2,1,1,1,2,1
 28/12/2015 11:22:09 AM,2.444352,601.0323,2,1,1,19.73558,2.213624,900.2499,1,2,1,1,1,2,1
 28/12/2015 11:22:10 AM,2.429619,602.0323,2,1,1,19.71957,2.211831,899.4088,1,2,1,1,1,2,1
 28/12/2015 11:22:11 AM,2.428658,603.0323,2,1,1,19.69076,2.210806,899.2486,1,2,1,1,1,2,1
 28/12/2015 11:22:12 AM,2.428658,603.0323,2,1,1,19.69076,2.210806,898.9683,1,2,1,1,1,2,1
 28/12/2015 11:22:13 AM,2.471255,604.0323,2,1,1,19.69076,2.210806,898.007,1,2,1,1,1,2,1
 28/12/2015 11:22:14 AM,2.507446,605.0323,2,1,1,19.69076,2.210806,897.5663,1,2,1,1,1,2,1
 28/12/2015 11:22:15 AM,2.545239,606.0323,2,1,1,19.72277,2.210294,897.4462,1,2,1,1,1,2,1
 28/12/2015 11:22:16 AM,2.590718,607.0323,2,1,1,19.73558,2.208884,896.525,1,2,1,1,1,2,1
 28/12/2015 11:22:17 AM,2.620184,608.0323,2,1,1,19.75479,2.208884,896.0443,1,2,1,1,1,2,1
 28/12/2015 11:22:18 AM,2.642603,609.0323,2,1,1,19.75479,2.208884,895.804,1,2,1,1,1,2,1
 28/12/2015 11:22:19 AM,2.653813,610.0323,2,1,1,19.75479,2.210166,895.4435,1,2,1,1,1,2,1
 28/12/2015 11:22:20 AM,2.653813,611.0323,2,1,1,19.75479,2.210166,895.043,1,2,1,1,1,2,1
 28/12/2015 11:22:21 AM,2.625949,612.0323,2,1,1,19.75479,2.212087,894.4421,1,2,1,1,1,2,1
 28/12/2015 11:22:22 AM,2.612177,613.0323,2,1,1,19.73558,2.212087,893.8414,1,2,1,1,1,2,1
 28/12/2015 11:22:23 AM,2.606732,614.0323,2,1,1,19.71957,2.212087,893.8013,1,2,1,1,1,2,1
 28/12/2015 11:22:24 AM,2.600006,615.0323,2,1,1,19.71957,2.210294,893.9214,1,2,1,1,1,2,1
 28/12/2015 11:22:25 AM,2.575986,616.0323,2,1,1,19.64274,2.210294,893.2005,1,2,1,1,1,2,1
 28/12/2015 11:22:26 AM,2.559331,617.0323,2,1,1,19.62033,2.210294,892.5596,1,2,1,1,1,2,1
 28/12/2015 11:22:27 AM,2.540755,618.0323,2,1,1,19.62033,2.210294,892.7599,1,2,1,1,1,2,1
 28/12/2015 11:22:28 AM,2.530506,619.0323,2,1,1,19.62033,2.209653,892.1591,1,2,1,1,1,2,1
 28/12/2015 11:22:29 AM,2.521538,619.0323,2,1,1,19.56591,2.208756,891.7585,1,2,1,1,1,2,1
 28/12/2015 11:22:30 AM,2.508728,620.0323,2,1,1,19.58832,2.208756,891.358,1,2,1,1,1,2,1
 28/12/2015 11:22:31 AM,2.487269,621.0323,2,1,1,19.67155,2.208756,890.7172,1,2,1,1,1,2,1
 28/12/2015 11:22:32 AM,2.473817,622.0323,2,1,1,19.67155,2.210166,890.5168,1,2,1,1,1,2,1
 28/12/2015 11:22:33 AM,2.454601,623.0323,2,1,1,19.67155,2.210166,889.9561,1,2,1,1,1,2,1
 28/12/2015 11:22:34 AM,2.439548,624.0323,2,1,1,19.67155,2.210166,889.5155,1,2,1,1,1,2,1
 28/12/2015 11:22:35 AM,2.425456,625.0323,2,1,1,19.67155,2.210166,888.9147,1,2,1,1,1,2,1
 28/12/2015 11:22:36 AM,2.420011,626.0323,2,1,1,19.70037,2.21324,888.3539,1,2,1,1,1,2,1
 28/12/2015 11:22:37 AM,2.420011,627.0323,2,1,1,19.70037,2.21324,887.7932,1,2,1,1,1,2,1
 28/12/2015 11:22:38 AM,2.451398,628.0323,2,1,1,19.70037,2.21324,887.4327,1,2,1,1,1,2,1
