source,column,state,count,percentage
real_swat_normal,MV101,0.0,2150,0.005438934677129659
real_swat_normal,MV101,1.0,108394,0.27420831878734525
real_swat_normal,MV101,2.0,284754,0.7203527465355251
real_swat_normal,P101,1.0,348139,0.25098370843300183
real_swat_normal,P101,2.0,1038959,0.7490162915669981
real_swat_normal,P102,1.0,1387002,0.9999307907588361
real_swat_normal,P102,2.0,96,6.920924116392642e-05
real_swat_normal,MV301,0.0,4947,0.003566438708728583
real_swat_normal,MV301,1.0,1369134,0.9870492207472003
real_swat_normal,MV301,2.0,13017,0.009384340544071147
real_swat_normal,P301,1.0,1383348,0.9972965140170341
real_swat_normal,P301,2.0,3750,0.0027034859829658756
real_swat_normal,P302,1.0,240568,0.17343259092003593
real_swat_normal,P302,2.0,1146530,0.8265674090799641
generated_swat_style_minicps,MV101,0.0,17474,0.19415555555555555
generated_swat_style_minicps,MV101,2.0,72526,0.8058444444444445
generated_swat_style_minicps,P101,1.0,17474,0.19415555555555555
generated_swat_style_minicps,P101,2.0,72526,0.8058444444444445
generated_swat_style_minicps,P102,1.0,90000,1.0
generated_swat_style_minicps,MV301,0.0,17474,0.19415555555555555
generated_swat_style_minicps,MV301,2.0,72526,0.8058444444444445
generated_swat_style_minicps,P301,1.0,17474,0.19415555555555555
generated_swat_style_minicps,P301,2.0,72526,0.8058444444444445
generated_swat_style_minicps,P302,1.0,90000,1.0
